"date","oyster_chlorophyll","oyster_size","weight","growth_pct"
2023-11-20,1.70431407455357,"Large",50.816491,0.0244444444444444
2023-11-20,1.70431407455357,"Small",1.0582176,0.0256410256410256
2023-11-27,0.591165421428573,"Large",NA,NA
2023-11-27,0.591165421428573,"Small",1.1684486,0.104166666666667
2023-12-08,1.10205049757322,"Large",56.5264568,0.11236442516269
2023-12-08,1.10205049757322,"Small",NA,NA
2023-12-11,1.54333664330357,"Large",NA,NA
2023-12-11,1.54333664330357,"Small",1.25883802,0.0773584905660377
2023-12-18,1.44622272638037,"Large",NA,NA
2023-12-18,1.44622272638037,"Small",1.4550492,0.155866900175131
2023-12-28,2.10808752202381,"Large",48.722102,NA
2023-12-28,2.10808752202381,"Small",NA,NA
2024-01-01,2.62697999479167,"Large",NA,NA
2024-01-01,2.62697999479167,"Small",1.86510852,0.281818181818182
2024-01-05,2.62697999479167,"Large",39.903622,NA
2024-01-05,2.62697999479167,"Small",NA,NA
2024-01-08,2.60273916517857,"Large",NA,NA
2024-01-08,2.60273916517857,"Small",1.91581478,0.0271867612293144
2024-01-12,2.60273916517857,"Large",NA,NA
2024-01-12,2.60273916517857,"Small",NA,NA
2024-01-17,2.91114039732143,"Large",46.517482,NA
2024-01-17,2.91114039732143,"Small",2.07454742,0.0828538550057537
2024-01-23,1.62615812064897,"Large",37.47854,NA
2024-01-23,1.62615812064897,"Small",2.1935969,NA
2024-02-14,NA,"Large",NA,NA
2024-02-14,NA,"Small",2.3809896,NA
