"date","oyster_chlorophyll","oyster_size","weight"
2023-11-20,1.70431407455357,"Large",50.816491
2023-11-20,1.70431407455357,"Small",1.0582176
2023-11-27,0.591165421428573,"Small",1.1684486
2023-12-08,1.10205049757322,"Large",56.5264568
2023-12-11,1.54333664330357,"Small",1.25883802
2023-12-18,1.44622272638037,"Small",1.4550492
2023-12-28,2.10808752202381,"Large",48.722102
2024-01-01,2.62697999479167,"Small",1.86510852
2024-01-05,2.62697999479167,"Large",39.903622
2024-01-08,2.60273916517857,"Small",1.91581478
2024-01-17,2.91114039732143,"Large",46.517482
2024-01-17,2.91114039732143,"Small",2.07454742
2024-01-23,1.62615812064897,"Large",37.47854
2024-01-23,1.62615812064897,"Small",2.1935969
2024-02-14,NA,"Small",2.3809896
